"";"1";"2";"3";"4";"class"
"1";2,89767241198994e-05;4,76335452984369e-250;0,196710197878216;0,803260825397664;4
"2";0,918330723223746;5,91518659166702e-36;0,081669240128443;3,66478107882215e-08;1
"3";0,98027256013718;4,40580740424067e-85;0,0197274398628204;9,35976141007014e-18;1
"4";0,99829769020663;7,26968996664657e-39;0,00170230979337068;1,14514585122117e-19;1
"5";0,997317456241885;5,55492595797555e-74;0,00268254375811543;4,96334532209384e-21;1
"6";1,21309764420801e-06;5,5057237834184e-273;0,0302686807010059;0,96973010620135;4
"7";0,468729573838792;9,57553615355615e-78;0,53125510164771;1,53245134980287e-05;3
"8";8,84747050481243e-05;2,27855415099349e-295;0,99824472777275;0,00166679752220192;3
"9";0,00173835198342944;1,82323065297402e-224;0,997957314761072;0,000304333255499026;3
"10";0,99618267350475;2,64785105371621e-10;0,00381732623043921;2,50674268176567e-14;1
"11";0,751987499116865;1,41782469570961e-63;0,248012117302432;3,8358070292078e-07;1
"12";0,65634499406989;5,129029583584e-60;0,343635253870437;1,97520596729717e-05;1
"13";0,999416033202241;3,17188231651889e-68;0,000583966797758908;8,13139818864943e-26;1
"15";0,00120435650427860;6,18466588664602e-216;0,99673266545422;0,0020629780415013;3
"16";0,0291590377884405;0,970836931867894;4,0303436654559e-06;5,73543447410594e-24;2
"17";0,00107237565338712;3,02546594040937e-153;0,172066317811044;0,826861306535569;4
"18";0,994798442466488;2,05691329791494e-32;0,00520155753351197;2,89660218854587e-16;1
"19";0,9996608626759;5,01523235953263e-09;0,000339132308866941;2,45737609880877e-21;1
"21";3,16363013520378e-06;2,13153814298479e-266;0,0427403763445123;0,957256460025352;4
"22";0,0741662163163784;5,3138585202174e-134;0,925824369139859;9,4145437630554e-06;3
"23";1,84582932710622e-05;2,72658577958310e-214;0,0447866033397418;0,955194938366987;4
"24";0,999977131940658;5,47368205632181e-16;2,28680593416793e-05;4,09557435711204e-29;1
"25";0,995571491039304;1,38566240708501e-27;0,00442850896069608;2,51259603599927e-16;1
"27";0,000458095728299159;2,86627582195926e-169;0,150353871726831;0,84918803254487;4
"28";0,971083283924877;2,06152542665133e-83;0,0289167160751227;2,46122099814154e-16;1
"29";3,85681806277706e-05;2,5094964896292e-253;0,348538067733645;0,651423364085727;4
"30";0,642613645155932;3,09895648227416e-93;0,357386326784851;2,80592166485643e-08;1
"31";0,76652789050797;1,12374819031121e-51;0,233470465189183;1,64430284734496e-06;1
"32";0,0346264426391395;0,965372311554145;1,24580671523906e-06;3,23440365093041e-27;2
"33";0,00421366011250467;9,86608617818939e-206;0,995696619275206;8,97206122892231e-05;3
"34";0,986239888743388;2,55288953550386e-69;0,0137601112566103;1,20500489814764e-15;1
"35";0,00541752454236267;0,994582060326569;4,15131068153051e-07;3,58271281742786e-26;2
"36";0,986944784282889;1,91850591547601e-22;0,0130552157146630;2,44806797794764e-12;1
"37";0,102041558562773;4,57778321439983e-131;0,897954114406817;4,32703041058918e-06;3
"39";0,000109805143542158;6,47433121904476e-191;0,0984383251556646;0,901451869700793;4
"40";0,999784343870555;4,52441121691995e-16;0,000215656129444304;1,16455716660096e-22;1
"41";1,10229881965112e-05;8,37102663950626e-237;0,0658037892416944;0,934185187770109;4
"42";2,68932447598025e-05;6,81865461277595e-211;0,0498043459711619;0,950168760784078;4
"43";0,000387782704117952;3,41387727349492e-199;0,366307563171136;0,633304654124746;4
"44";0,00590329619777082;0,99409606039008;6,43412150074396e-07;5,30646134783804e-25;2
"46";0,99990780173168;1,53039219046121e-14;9,2198268304596e-05;3,18616956667226e-25;1
"47";0,0290008909709009;9,50040710308183e-147;0,970039056875824;0,000960052153274855;3
"48";0,235529394882464;2,99202342774880e-98;0,764443888808103;2,67163094325688e-05;3
"49";0,0438071763646225;6,37357631439782e-134;0,94815039695079;0,00804242668458683;3
"50";0,987992903200925;6,08846608730166e-49;0,0120070967990705;4,82433231019602e-15;1
