"","Area","Frost","Illiteracy","Murder","Life.Exp","HS.Grad","Population","Income","name","latitude","longitude"
"AL",50708,20,2.1,15.1,69.05,41.3,3615,3624,"Alabama",32.799,-86.8073
"AK",566432,152,1.5,11.3,69.31,66.7,365,6315,"Alaska",61.385,-152.2683
"AZ",113417,15,1.8,7.8,70.55,58.1,2212,4530,"Arizona",33.7712,-111.3877
"AR",51945,65,1.9,10.1,70.66,39.9,2110,3378,"Arkansas",34.9513,-92.3809
"CA",156361,20,1.1,10.3,71.71,62.6,21198,5114,"California",36.17,-119.7462
"CO",103766,166,0.7,6.8,72.06,63.9,2541,4884,"Colorado",39.0646,-105.3272
"CT",4862,139,1.1,3.1,72.48,56,3100,5348,"Connecticut",41.5834,-72.7622
"DE",1982,103,0.9,6.2,70.06,54.6,579,4809,"Delaware",39.3498,-75.5148
"FL",54090,11,1.3,10.7,70.66,52.6,8277,4815,"Florida",27.8333,-81.717
"GA",58073,60,2,13.9,68.54,40.6,4931,4091,"Georgia",32.9866,-83.6487
"HI",6425,0,1.9,6.2,73.6,61.9,868,4963,"Hawaii",21.1098,-157.5311
"ID",82677,126,0.6,5.3,71.87,59.5,813,4119,"Idaho",44.2394,-114.5103
"IL",55748,127,0.9,10.3,70.14,52.6,11197,5107,"Illinois",40.3363,-89.0022
"IN",36097,122,0.7,7.1,70.88,52.9,5313,4458,"Indiana",39.8647,-86.2604
"IA",55941,140,0.5,2.3,72.56,59,2861,4628,"Iowa",42.0046,-93.214
"KS",81787,114,0.6,4.5,72.58,59.9,2280,4669,"Kansas",38.5111,-96.8005
"KY",39650,95,1.6,10.6,70.1,38.5,3387,3712,"Kentucky",37.669,-84.6514
"LA",44930,12,2.8,13.2,68.76,42.2,3806,3545,"Louisiana",31.1801,-91.8749
"ME",30920,161,0.7,2.7,70.39,54.7,1058,3694,"Maine",44.6074,-69.3977
"MD",9891,101,0.9,8.5,70.22,52.3,4122,5299,"Maryland",39.0724,-76.7902
"MA",7826,103,1.1,3.3,71.83,58.5,5814,4755,"Massachusetts",42.2373,-71.5314
"MI",56817,125,0.9,11.1,70.63,52.8,9111,4751,"Michigan",43.3504,-84.5603
"MN",79289,160,0.6,2.3,72.96,57.6,3921,4675,"Minnesota",45.7326,-93.9196
"MS",47296,50,2.4,12.5,68.09,41,2341,3098,"Mississippi",32.7673,-89.6812
"MO",68995,108,0.8,9.3,70.69,48.8,4767,4254,"Missouri",38.4623,-92.302
"MT",145587,155,0.6,5,70.56,59.2,746,4347,"Montana",46.9048,-110.3261
"NE",76483,139,0.6,2.9,72.6,59.3,1544,4508,"Nebraska",41.1289,-98.2883
"NV",109889,188,0.5,11.5,69.03,65.2,590,5149,"Nevada",38.4199,-117.1219
"NH",9027,174,0.7,3.3,71.23,57.6,812,4281,"New Hampshire",43.4108,-71.5653
"NJ",7521,115,1.1,5.2,70.93,52.5,7333,5237,"New Jersey",40.314,-74.5089
"NM",121412,120,2.2,9.7,70.32,55.2,1144,3601,"New Mexico",34.8375,-106.2371
"NY",47831,82,1.4,10.9,70.55,52.7,18076,4903,"New York",42.1497,-74.9384
"NC",48798,80,1.8,11.1,69.21,38.5,5441,3875,"North Carolina",35.6411,-79.8431
"ND",69273,186,0.8,1.4,72.78,50.3,637,5087,"North Dakota",47.5362,-99.793
"OH",40975,124,0.8,7.4,70.82,53.2,10735,4561,"Ohio",40.3736,-82.7755
"OK",68782,82,1.1,6.4,71.42,51.6,2715,3983,"Oklahoma",35.5376,-96.9247
"OR",96184,44,0.6,4.2,72.13,60,2284,4660,"Oregon",44.5672,-122.1269
"PA",44966,126,1,6.1,70.43,50.2,11860,4449,"Pennsylvania",40.5773,-77.264
"RI",1049,127,1.3,2.4,71.9,46.4,931,4558,"Rhode Island",41.6772,-71.5101
"SC",30225,65,2.3,11.6,67.96,37.8,2816,3635,"South Carolina",33.8191,-80.9066
"SD",75955,172,0.5,1.7,72.08,53.3,681,4167,"South Dakota",44.2853,-99.4632
"TN",41328,70,1.7,11,70.11,41.8,4173,3821,"Tennessee",35.7449,-86.7489
"TX",262134,35,2.2,12.2,70.9,47.4,12237,4188,"Texas",31.106,-97.6475
"UT",82096,137,0.6,4.5,72.9,67.3,1203,4022,"Utah",40.1135,-111.8535
"VT",9267,168,0.6,5.5,71.64,57.1,472,3907,"Vermont",44.0407,-72.7093
"VA",39780,85,1.4,9.5,70.08,47.8,4981,4701,"Virginia",37.768,-78.2057
"WA",66570,32,0.6,4.3,71.72,63.5,3559,4864,"Washington",47.3917,-121.5708
"WV",24070,100,1.4,6.7,69.48,41.6,1799,3617,"West Virginia",38.468,-80.9696
"WI",54464,149,0.7,3,72.48,54.5,4589,4468,"Wisconsin",44.2563,-89.6385
"WY",97203,173,0.6,6.9,70.29,62.9,376,4566,"Wyoming",42.7475,-107.2085
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2417,-170.7197
"DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8964,-77.0262
"MP",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8058,145.5505
"PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2766,-66.335
"VI",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0001,-64.8199
